generic_name,cell_line,replicate,GR_AOC,GRmax,GEC50,GR50
A-1210477,184A1,1,0.05594923760313032,-0.1189274493042853,3.6599180962160633,3.498703676895089
A-1210477,184A1,2,0.13437126160130908,-0.2081900261707281,7.542820674767866,3.560613907282768
A-1210477,AU565,1,-0.05509786565951243,0.7172751582900891,0.0,100.0
A-1210477,AU565,2,0.06123100573584601,0.4039580064696066,11.640061548709733,9.516356947132756
A-1210477,AU565,3,0.03856487680474753,0.5094854228193129,12.65682837184139,10.053110570443659
A-1210477,AU565,4,-0.12495399246788397,0.8149029995547541,0.0,100.0
A-1210477,BT20,1,-0.015646746291184795,0.634333521311776,13.64600002913351,10.858768028769294
A-1210477,BT20,2,-0.003545910515292121,0.614373733581249,13.319759592108635,10.692329899766284
A-1210477,BT20,3,-0.0971656327730963,1.00650930893859,0.0,100.0
A-1210477,BT20,4,-0.04192398310335428,1.01916646589892,0.0,100.0
A-1210477,BT474,1,-0.02383442716295328,0.4786256363997299,0.0,100.0
A-1210477,BT474,2,0.025910251229360318,0.6776218794229454,0.754744724049807,100.0
A-1210477,BT474,3,-0.164797862791699,0.6875328695160743,0.0,100.0
A-1210477,BT474,4,0.05261824009703727,0.8221478683696473,0.0,100.0
A-1210477,BT549,1,-0.024311879682251975,0.974579520528626,0.0,100.0
A-1210477,BT549,2,0.03422579397768374,0.8442564806961469,0.0,100.0
A-1210477,BT549,3,-0.02476613711748965,1.03042882886069,0.0,100.0
A-1210477,BT549,4,0.04794983080888442,0.9607287739913,0.0,100.0
A-1210477,CAL120,1,0.03680109269949673,0.92106859838894,0.0,100.0
A-1210477,CAL120,2,0.03166336181395053,0.932194363816468,0.0,100.0
A-1210477,CAL120,3,-0.052934268590813134,1.02106338859053,0.0,100.0
A-1210477,CAL120,4,0.04537694563003693,0.840703449130603,0.0,100.0
A-1210477,CAL51,1,-0.01686812629125741,0.98580178276781,0.0,100.0
A-1210477,CAL51,2,0.0003158436491010781,0.939347423155722,0.0,100.0
A-1210477,CAL51,3,0.04051326013464402,1.00815271144539,0.0,100.0
A-1210477,CAL51,4,0.005265034833256911,0.988973828562167,0.0,100.0
A-1210477,CAL851,1,0.020372046417609133,0.963851055567012,0.0,100.0
A-1210477,CAL851,2,0.004155444654824798,1.04508636202808,0.0,100.0
A-1210477,CAL851,3,0.005453933441971855,0.985622233223594,0.0,100.0
A-1210477,CAL851,4,0.01307264831451483,0.8094264249755071,0.0,100.0
A-1210477,CAMA1,1,0.060957687244156775,0.9103611619102132,0.0,100.0
A-1210477,CAMA1,2,0.07205921378298467,0.904460788366414,0.0,100.0
A-1210477,CAMA1,3,-0.06910438272587648,0.8322887582652371,0.0,100.0
A-1210477,CAMA1,4,-0.05343256379586882,0.8300335646836229,0.0,100.0
A-1210477,EFM19,1,-0.07747729202774711,1.03612254956681,0.0,100.0
A-1210477,EFM19,2,-0.08146853050210631,1.0577489149290549,0.0,100.0
A-1210477,EFM19,3,-0.015207986153550138,0.9159890455804248,0.0,100.0
A-1210477,EVSAT,1,-0.009483223507426078,0.8492789458809233,15.466818963719533,13.50665851870284
A-1210477,EVSAT,2,0.05464762017066861,0.8494199505648012,0.0,100.0
A-1210477,EVSAT,3,-0.016028056212073087,0.994249063588432,0.0,100.0
A-1210477,HCC1143,1,0.05386201189996059,0.6480897860719929,9.538173422225034,15.215445453761703
A-1210477,HCC1143,2,0.028297972351111797,0.606829203876696,4.743761568478704,100.0
A-1210477,HCC1143,3,0.11626705662289771,0.7113663580953079,0.0,100.0
A-1210477,HCC1143,4,0.05775235237275669,0.7211845205129799,2.9119200430227226,100.0
A-1210477,HCC1187,1,-0.027129560909252864,0.8282520391897643,0.0,100.0
A-1210477,HCC1187,2,-0.16632123151331396,0.9928201416638528,0.0,100.0
A-1210477,HCC1187,3,0.1073346847237379,0.7689440206797933,0.0,100.0
A-1210477,HCC1395,1,-0.028147944831254358,0.913282209805125,0.0,100.0
A-1210477,HCC1395,2,-0.0595865449672192,0.783825967647912,0.0,100.0
A-1210477,HCC1395,3,0.02538070347332433,0.865269697673409,0.0,100.0
A-1210477,HCC1395,4,0.047730706578867105,0.8741148839796221,0.0,100.0
A-1210477,HCC1419,1,0.01694688508619714,0.674011045154857,13.889083242326052,11.140089503869042
A-1210477,HCC1419,2,0.04698736084666634,0.485352747477138,12.364321645765923,9.925354868027963
A-1210477,HCC1419,3,-0.002960454564202155,0.903935281027857,0.0,100.0
A-1210477,HCC1419,4,0.09978312874222554,0.769145966103397,0.0,100.0
A-1210477,HCC1428,1,-0.08574985737358866,0.864757083167522,0.0,100.0
A-1210477,HCC1428,2,-0.026792734420509785,0.8021921226275021,0.0,100.0
A-1210477,HCC1428,3,0.011692574536083793,0.728124278369516,2.9156098092205736,100.0
A-1210477,HCC1428,4,-0.029125378113260283,0.839129184594445,0.0,100.0
A-1210477,HCC1500,1,-0.022863717306749246,0.906778998782239,0.0,100.0
A-1210477,HCC1500,2,-0.06328777548756523,0.8423613722582329,0.0,100.0
A-1210477,HCC1500,3,-0.11246418540678582,0.793464939117703,0.0,100.0
A-1210477,HCC1500,4,-0.05333321869050263,0.945027813044182,0.0,100.0
A-1210477,HCC1569,1,0.030967974460773613,0.7728317522966568,0.0,100.0
A-1210477,HCC1569,2,-0.10155398001664569,1.0837113419877764,0.0,100.0
A-1210477,HCC1806,1,-0.025558433874291638,0.8463723783924789,0.0,100.0
A-1210477,HCC1806,2,-0.03202256327495666,0.8485978918718978,0.0,100.0
