agent,cell_line,GR_AOC,sigma_GR_AOC,GRmax,sigma_GRmax,GEC50,sigma_GEC50
A-1210477,184A1,0.09516024960221967,0.055452744963486365,-0.1635587377375067,0.06311817340844715,5.601370335664512,2.745625291466659
A-1210477,AU565,-0.020063993896700712,0.08616941726610214,0.6114053967834407,0.18800867140995972,6.074216765625437,7.026173029460451
A-1210477,BT20,-0.039570568170731873,0.04160470823080624,0.8185957574326337,0.22449893735491924,6.741426967360339,7.785468293042889
A-1210477,BT474,-0.027525949657063675,0.0968430417229911,0.6664820634270991,0.14152633670253473,0.1886861903358733,0.37737238067174667
A-1210477,BT549,0.008274401996706631,0.03830212081072308,0.9524984010191907,0.07819799608862381,0.0,0.0
A-1210477,CAL120,0.015226782888167764,0.045791459257159044,0.9287574499816352,0.07381242935952632,0.0,0.0
A-1210477,CAL51,0.007306503081436148,0.024084146453667316,0.9805689364827723,0.029201042751185187,0.0,0.0
A-1210477,CAL851,0.010763518207230153,0.007516963542004611,0.9509965189485482,0.10043101990752845,0.0,0.0
A-1210477,CAMA1,0.002619988626349039,0.07418752624103672,0.8692860683063718,0.04409831529964394,0.0,0.0
A-1210477,EFM19,-0.05805126956113451,0.03715700063240772,1.0032868366920966,0.0763714813881997,0.0,0.0
A-1210477,EVSAT,0.009712113483723148,0.03905263793512987,0.8976493200113854,0.08365786164457928,5.155601731467859,8.929764142492404
A-1210477,HCC1143,0.0640448483116817,0.03718549826823028,0.6718674671392442,0.05412235504044316,4.298463733829317,4.002172389003976
A-1210477,HCC1187,-0.028705369232942982,0.13683476349886328,0.8633387338444701,0.11598894987481236,0.0,0.0
A-1210477,HCC1395,-0.0036557699365705344,0.04902993977614076,0.859123189776517,0.05436114287843726,0.0,0.0
A-1210477,HCC1419,0.04018923002772172,0.04472042495843613,0.7081112599408124,0.17593224274753202,6.563710855315447,7.604688119744481
A-1210477,HCC1428,-0.03249384884281874,0.04013515398567368,0.8085506671897462,0.059450377154253976,0.7289023232624644,1.4578046465249288
A-1210477,HCC1500,-0.06298722422290073,0.03719836756778624,0.8719082808005891,0.06730232939719587,0.0,0.0
A-1210477,HCC1569,-0.03529300277793604,0.09370717266707813,0.9282715471422166,0.2198250660030822,0.0,0.0
A-1210477,HCC1806,-0.012331737948093537,0.019476166008233115,0.8868864534013361,0.09909947479415687,0.0,0.0
A-1210477,HCC1937,0.005955641360277685,0.05150890850031474,0.723947161122812,0.16143694705389072,6.706454405660624,7.326130794387225
A-1210477,HCC1954,-0.03513911689083064,0.053143373857655135,0.8844302995472976,0.09563962048591217,0.20396837191836384,0.5769096757242194
A-1210477,HCC202,-0.005045885812768003,0.06657037406369422,0.8253594247992752,0.16624836374089594,5.132657750492469,8.890024001715137
A-1210477,HCC38,0.015086752404633213,0.03728011237209709,0.8870259976682501,0.0509209505963036,251.57600796480355,498.9581778344602
A-1210477,HCC70,0.0018355607112386808,0.04144686245123897,0.8991968136158137,0.11181602296067526,0.0,0.0
A-1210477,HS578T,-0.007932181492148173,0.07562981993345336,0.9419071208544791,0.0935644680794554,0.0,0.0
A-1210477,HTERT_HME1,0.33850042878070163,0.07558465352989305,-0.4221772357456838,0.059940496788385755,1.107130093192814,0.11879740718318925
A-1210477,MCF10A,0.001761150789090764,0.020195144560048745,0.947107919797238,0.037864243053975906,18.367715554799286,27.719817359864933
A-1210477,MCF12A,-0.01652215921408358,0.044691025494296016,0.9424419850684198,0.049647584522810664,0.0,0.0
A-1210477,MCF7,-0.00023398841053179093,0.01951951358243777,0.8760935599383151,0.04808572104487558,3.8515890747136052,7.7031781494272105
A-1210477,MDAMB157,0.005734168757011751,0.004202650107517649,0.788406557791351,0.11074918123075628,11.575360583223107,15.698786083236183
A-1210477,MDAMB175VII,0.027085010218307875,0.14347095232168422,0.5761199424524517,0.24153985888059187,2.8084013070797256,5.616802614159452
A-1210477,MDAMB231,0.05185487733894213,0.014261838360672201,0.944353838461631,0.05999262919695854,0.0011474366093204157,0.0022948732186408314
A-1210477,MDAMB330,0.04786926936617922,0.18066837021907528,0.8378136583399339,0.15964053967191874,0.0,0.0
A-1210477,MDAMB361,-0.017185765616464108,0.034226282124532055,0.9331226655019165,0.06834872947258883,0.0,0.0
A-1210477,MDAMB415,0.010086128252291285,0.19865637685429702,0.8552042461852367,0.13805793463832322,0.2504367823931183,0.5008735647862366
A-1210477,MDAMB436,0.014044294179880113,0.03084200566084327,0.8727872653719204,0.03454232867297803,0.0,0.0
A-1210477,MDAMB453,-0.0755908431894805,0.037624528339888275,0.9256697939470391,0.11392677033458333,0.0,0.0
A-1210477,MDAMB468,0.020626856799273122,0.026489152651891903,0.915648131706269,0.0529230843257087,21.752799005677314,37.676953084666856
A-1210477,MGH312,-0.1228937426542804,0.16362248905650903,0.7754786284017463,0.08747070497620324,0.0,0.0
A-1210477,PDX1258,-0.0033746305166916387,0.03309749413842831,0.8857028576602213,0.09151804359462651,3.759078690473304,7.518157380946608
A-1210477,PDX1328,-0.0317154102115855,0.05820939482954498,0.8564915425349888,0.11954561844543153,0.7398272062023562,1.5774912420311353
A-1210477,PDXHCI002,-0.05004757865891829,0.09357303694508172,0.9508940078238199,0.10653779597679655,0.0,0.0
A-1210477,SKBR3,0.03893847264308005,0.047077498016693024,0.6274776115882225,0.21934164239352172,4.9175570893246405,6.226823614341673
A-1210477,SUM1315,-0.053137771922034026,0.11404421130082959,0.7399054888070542,0.15074154703457007,6.1961238167718236,9.418547404197787
